game,checkpoint_round,player_id,v_total,v_m_assets,terminal_net_worth
sane-003,5,sane-1,4508.854327635054,1565.0,4034.0
sane-003,5,sane-2,3491.669096324908,1481.0,3857.0
sane-003,5,sane-3,2915.6746782957043,1779.0,1982.0
sane-003,5,sane-4,1630.2671204074727,1450.0,3420.0
sane-003,10,sane-1,4497.428571428572,1905.0,4034.0
sane-003,10,sane-2,3700.8155129335682,1756.0,3857.0
sane-003,10,sane-3,3059.5807796884187,2009.0,1982.0
sane-003,10,sane-4,3142.451535861258,1455.0,3420.0
sane-003,15,sane-1,5248.503303707703,2082.0,4034.0
sane-003,15,sane-2,2273.5714285714284,1782.0,3857.0
sane-003,15,sane-3,3481.350758829909,2058.0,1982.0
sane-003,15,sane-4,5342.422337374204,2255.0,3420.0
sane-003,20,sane-1,4710.554099360088,2042.0,4034.0
sane-003,20,sane-2,5166.785729233859,2347.0,3857.0
sane-003,20,sane-3,3299.8234584760717,1688.0,1982.0
sane-003,20,sane-4,5412.550998644267,2587.0,3420.0
sane-003,25,sane-1,4460.72775948089,1972.0,4034.0
sane-003,25,sane-2,6186.864057728973,2987.0,3857.0
sane-003,25,sane-3,3332.297773069974,1893.0,1982.0
sane-003,25,sane-4,5153.396124005876,2587.0,3420.0
sane-003,30,sane-1,5955.83930103572,2332.0,4034.0
sane-003,30,sane-2,6280.4221699748305,3007.0,3857.0
sane-003,30,sane-3,3387.7142857142853,2288.0,1982.0
sane-003,30,sane-4,6140.738528989449,2862.0,3420.0
sane-003,35,sane-1,4779.36225925269,2438.0,4034.0
sane-003,35,sane-2,5816.7339405322255,3305.0,3857.0
sane-003,35,sane-3,4465.817527566632,2449.0,1982.0
sane-003,35,sane-4,5730.538862090534,2997.0,3420.0
sane-003,40,sane-1,4838.8924809497685,3156.0,4034.0
sane-003,40,sane-2,4539.133394301402,3096.0,3857.0
sane-003,40,sane-3,3629.658553807037,2367.0,1982.0
sane-003,40,sane-4,5061.010342020099,3190.0,3420.0
sane-003,45,sane-1,4139.316193593391,3274.0,4034.0
sane-003,45,sane-2,4096.924979486057,3398.0,3857.0
sane-003,45,sane-3,2750.4128699485846,2467.0,1982.0
sane-003,45,sane-4,4256.821813864635,3470.0,3420.0
sane-007,5,sane-1,4182.9629549679385,1700.0,2165.0
sane-007,5,sane-2,3786.174475178605,1514.0,1446.0
sane-007,5,sane-3,3233.5768555677423,1696.0,2861.0
sane-007,5,sane-4,1269.4285714285713,1500.0,5320.0
sane-007,10,sane-1,4287.332214641786,1850.0,2165.0
sane-007,10,sane-2,4587.970701955515,1979.0,1446.0
sane-007,10,sane-3,3484.857142857142,1741.0,2861.0
sane-007,10,sane-4,3406.9827976884135,1615.0,5320.0
sane-007,15,sane-1,4598.476641207521,1990.0,2165.0
sane-007,15,sane-2,2895.0511724391877,1859.0,1446.0
sane-007,15,sane-3,3019.828019949533,1685.0,2861.0
sane-007,15,sane-4,3486.6441664037566,1806.0,5320.0
sane-007,20,sane-1,2620.285714285714,2028.0,2165.0
sane-007,20,sane-2,4827.819977219283,1945.0,1446.0
sane-007,20,sane-3,3297.180022780717,1926.0,2861.0
sane-007,20,sane-4,2885.2857142857138,2113.0,5320.0
sane-007,25,sane-1,3804.902367827215,2147.0,2165.0
sane-007,25,sane-2,6562.744419312094,2855.0,1446.0
sane-007,25,sane-3,3055.771624651772,2096.0,2861.0
sane-007,25,sane-4,4662.01015963749,2296.0,5320.0
sane-007,30,sane-1,3619.4276532788936,2150.0,2165.0
sane-007,30,sane-2,6473.446490577759,2914.0,1446.0
sane-007,30,sane-3,3130.710317460317,2246.0,2861.0
sane-007,30,sane-4,6003.558395825885,2660.0,5320.0
sane-007,35,sane-1,3695.2848576487754,2375.0,2165.0
sane-007,35,sane-2,3801.139373369978,2284.0,1446.0
sane-007,35,sane-3,4152.826004098786,2426.0,2861.0
sane-007,35,sane-4,5982.614913744108,3060.0,5320.0
sane-007,40,sane-1,1949.2957217913436,2555.0,2165.0
sane-007,40,sane-2,3838.7693453667925,2671.0,1446.0
sane-007,40,sane-3,4019.3209079263142,2466.0,2861.0
sane-007,40,sane-4,5728.009906446037,3670.0,5320.0
sane-007,45,sane-1,1862.4945083545288,2135.0,2165.0
sane-007,45,sane-2,2283.478442941022,1986.0,1446.0
sane-007,45,sane-3,3108.2244343821353,2571.0,2861.0
sane-007,45,sane-4,5933.973492480933,4935.0,5320.0
sane-011,5,sane-1,3154.443164148971,1370.0,2596.0
sane-011,5,sane-2,5360.160150816028,2045.0,5610.0
sane-011,5,sane-3,1448.396018142677,1536.0,2675.0
sane-011,5,sane-4,1212.2863811780373,1345.0,1414.0
sane-011,10,sane-1,3344.1118006111146,1604.0,2596.0
sane-011,10,sane-2,5267.857142857142,2384.0,5610.0
sane-011,10,sane-3,1359.811562843238,1446.0,2675.0
sane-011,10,sane-4,1491.0766916602856,1390.0,1414.0
sane-011,15,sane-1,3531.437472643501,1819.0,2596.0
sane-011,15,sane-2,6794.352082337262,2814.0,5610.0
sane-011,15,sane-3,3522.914634189156,1581.0,2675.0
sane-011,15,sane-4,2471.7188707948058,1585.0,1414.0
sane-011,20,sane-1,3257.6372114197716,1850.0,2596.0
sane-011,20,sane-2,7666.224334768109,3129.0,5610.0
sane-011,20,sane-3,3647.8514040548644,1728.0,2675.0
sane-011,20,sane-4,2295.8584783286824,1527.0,1414.0
sane-011,25,sane-1,4727.751927630226,2182.0,2596.0
sane-011,25,sane-2,5525.857142857143,3419.0,5610.0
sane-011,25,sane-3,4629.4291304424005,1718.0,2675.0
sane-011,25,sane-4,2490.9617990702295,1550.0,1414.0
sane-011,30,sane-1,5496.875014643369,2477.0,2596.0
sane-011,30,sane-2,5622.285714285714,3359.0,5610.0
sane-011,30,sane-3,4523.27717226806,1708.0,2675.0
sane-011,30,sane-4,3500.133527374284,1750.0,1414.0
sane-011,35,sane-1,4329.5213789863965,2647.0,2596.0
sane-011,35,sane-2,9154.428894240325,3829.0,5610.0
sane-011,35,sane-3,3137.139445473845,1913.0,2675.0
sane-011,35,sane-4,2041.9120326129173,1605.0,1414.0
sane-011,40,sane-1,3690.8115692679767,2772.0,2596.0
sane-011,40,sane-2,8130.1046509708995,4434.0,5610.0
sane-011,40,sane-3,3140.8468590768334,2219.0,2675.0
sane-011,40,sane-4,1106.2674435764595,1269.0,1414.0
sane-011,45,sane-1,2821.2301726294722,2681.0,2596.0
sane-011,45,sane-2,7558.960401821427,5555.0,5610.0
sane-011,45,sane-3,2541.028121110123,2175.0,2675.0
sane-011,45,sane-4,1295.6727230029003,1284.0,1414.0
sane-015,5,sane-1,1250.0,1424.0,2353.0
sane-015,5,sane-2,3003.262841710758,1680.0,2130.0
sane-015,5,sane-3,3963.2441211052314,1706.0,1276.0
sane-015,5,sane-4,3975.9582231040567,1540.0,6037.0
sane-015,10,sane-1,1921.5808733322717,1012.0,2353.0
sane-015,10,sane-2,4032.406087604604,2029.0,2130.0
sane-015,10,sane-3,4086.8646322579693,1832.0,1276.0
sane-015,10,sane-4,4641.374064506506,2178.0,6037.0
sane-015,15,sane-1,2622.2414198902115,1297.0,2353.0
sane-015,15,sane-2,4577.304165630905,2094.0,2130.0
sane-015,15,sane-3,4638.281854945057,1941.0,1276.0
sane-015,15,sane-4,5486.743988105255,2504.0,6037.0
sane-015,20,sane-1,3118.734893322839,1526.0,2353.0
sane-015,20,sane-2,2006.666704340622,1734.0,2130.0
sane-015,20,sane-3,4466.618189644689,2196.0,1276.0
sane-015,20,sane-4,8153.980212691849,3650.0,6037.0
sane-015,25,sane-1,4884.857142857143,2676.0,2353.0
sane-015,25,sane-2,3225.958572163433,1342.0,2130.0
sane-015,25,sane-3,3014.3271421222807,1216.0,1276.0
sane-015,25,sane-4,6870.857142857142,3807.0,6037.0
sane-015,30,sane-1,5186.0384214284895,2716.0,2353.0
sane-015,30,sane-2,2437.457556466894,1802.0,2130.0
sane-015,30,sane-3,1769.8576052171713,1725.0,1276.0
sane-015,30,sane-4,10061.503559744588,3974.0,6037.0
sane-015,35,sane-1,4557.311620971555,2792.0,2353.0
sane-015,35,sane-2,1256.9192787211268,1592.0,2130.0
sane-015,35,sane-3,2321.8011752194334,2261.0,1276.0
sane-015,35,sane-4,9878.570100378047,4224.0,6037.0
sane-015,40,sane-1,3679.8085944985914,2437.0,2353.0
sane-015,40,sane-2,1769.392421775268,1737.0,2130.0
sane-015,40,sane-3,2621.7038716709367,2391.0,1276.0
sane-015,40,sane-4,8622.125634947373,4754.0,6037.0
sane-015,45,sane-1,2653.411336771006,2055.0,2353.0
sane-015,45,sane-2,2176.3190953781823,1861.0,2130.0
sane-015,45,sane-3,2619.8114742806333,2311.0,1276.0
sane-015,45,sane-4,6618.394045534151,5593.0,6037.0
sane-019,5,sane-1,1528.4285714285713,1597.0,4787.0
sane-019,5,sane-2,2233.4701829805995,1276.0,1721.0
sane-019,5,sane-3,3147.4469246031745,1873.0,2880.0
sane-019,5,sane-4,2213.3640138154024,1455.0,0.0
sane-019,10,sane-1,4920.918841282675,1822.0,4787.0
sane-019,10,sane-2,3541.3896033497176,1397.0,1721.0
sane-019,10,sane-3,3586.7142857142853,1923.0,2880.0
sane-019,10,sane-4,3652.7833212406217,1509.0,0.0
sane-019,15,sane-1,5500.95499640753,2217.0,4787.0
sane-019,15,sane-2,3420.9101513452497,1512.0,1721.0
sane-019,15,sane-3,3804.617528795886,1803.0,2880.0
sane-019,15,sane-4,4182.3049300062985,1869.0,0.0
sane-019,20,sane-1,7209.719741954813,2702.0,4787.0
sane-019,20,sane-2,3060.688233047372,1427.0,1721.0
sane-019,20,sane-3,3190.877739283529,1738.0,2880.0
sane-019,20,sane-4,2843.285714285714,2029.0,0.0
sane-019,25,sane-1,6644.741544368304,2857.0,4787.0
sane-019,25,sane-2,3406.7977973196585,1712.0,1721.0
sane-019,25,sane-3,2458.8158979422055,1853.0,2880.0
sane-019,25,sane-4,2913.501903226973,1699.0,0.0
sane-019,30,sane-1,7411.829227585731,3007.0,4787.0
sane-019,30,sane-2,4012.0094880223373,1662.0,1721.0
sane-019,30,sane-3,1193.1428571428573,2088.0,2880.0
sane-019,30,sane-4,2836.875570106217,1754.0,0.0
sane-019,35,sane-1,8228.914755654167,3507.0,4787.0
sane-019,35,sane-2,4570.903907294082,2062.0,1721.0
sane-019,35,sane-3,1296.4013009757318,1928.0,2880.0
