game,checkpoint_round,player_id,v_total,v_m_assets,terminal_net_worth
sane-002,5,sane-1,3856.7318162377023,1803.0,3861.0
sane-002,5,sane-2,3508.6621054011134,1695.0,2447.0
sane-002,5,sane-3,2701.680473410456,1420.0,0.0
sane-002,5,sane-4,3587.381384639146,1593.0,3613.0
sane-002,10,sane-1,4702.956882612,2531.0,3861.0
sane-002,10,sane-2,3772.8739182901663,1980.0,2447.0
sane-002,10,sane-3,3118.277835441657,1680.0,0.0
sane-002,10,sane-4,2407.7075379654048,1645.0,3613.0
sane-002,15,sane-1,6075.4950117897315,2708.0,3861.0
sane-002,15,sane-2,4157.777527496175,2248.0,2447.0
sane-002,15,sane-3,2871.655925504533,1654.0,0.0
sane-002,15,sane-4,3709.2143923524163,2027.0,3613.0
sane-002,20,sane-1,4005.0104523418654,2229.0,3861.0
sane-002,20,sane-2,3660.498041325262,2241.0,2447.0
sane-002,20,sane-3,1928.074717734991,1504.0,0.0
sane-002,20,sane-4,7136.559645740739,2939.0,3613.0
sane-002,25,sane-1,4253.883876847115,1992.0,3861.0
sane-002,25,sane-2,3185.7142857142853,2539.0,2447.0
sane-002,25,sane-3,1451.8571428571427,1628.0,0.0
sane-002,25,sane-4,8267.973266010027,3029.0,3613.0
sane-002,30,sane-1,4014.7142857142853,2576.0,3861.0
sane-002,30,sane-2,3349.7142857142853,2451.0,2447.0
sane-002,30,sane-3,1079.7099500293943,588.0,0.0
sane-002,30,sane-4,9504.14719282775,3359.0,3613.0
sane-002,35,sane-1,5464.667426382062,2922.0,3861.0
sane-002,35,sane-2,4059.3858406372838,2466.0,2447.0
sane-002,35,sane-3,-280.5001250938203,553.0,0.0
sane-002,35,sane-4,8520.106396002098,3553.0,3613.0
sane-002,40,sane-1,4955.771182547831,3206.0,3861.0
sane-002,40,sane-2,3609.551132441382,2527.0,2447.0
sane-002,40,sane-3,-566.724816438975,103.0,0.0
sane-002,40,sane-4,6546.374720615422,3708.0,3613.0
sane-002,45,sane-1,3636.631412515325,3241.0,3861.0
sane-002,45,sane-2,2798.6477003058912,2642.0,2447.0
sane-002,45,sane-4,4424.074652502777,3838.0,3613.0
sane-006,5,sane-1,1290.142857142857,1462.0,3342.0
sane-006,5,sane-2,4127.82495590829,1603.0,2628.0
sane-006,5,sane-3,3727.769473838918,1275.0,2010.0
sane-006,5,sane-4,3186.847920340976,1810.0,4196.0
