game,checkpoint_round,player_id,v_total,v_m_assets,terminal_net_worth
sane-004,5,sane-1,3494.9120350808075,1872.0,2115.0
sane-004,5,sane-2,3158.1835253433956,1588.0,2216.0
sane-004,5,sane-3,2411.104052430427,1475.0,1227.0
sane-004,5,sane-4,4586.086101431081,1766.0,5206.0
sane-004,10,sane-1,5092.521703496324,2282.0,2115.0
sane-004,10,sane-2,4071.5263801321626,1573.0,2216.0
sane-004,10,sane-3,3079.237630657226,1670.0,1227.0
sane-004,10,sane-4,2833.4285714285716,1876.0,5206.0
sane-004,15,sane-1,4147.714285714285,2094.0,2115.0
sane-004,15,sane-2,4902.935626102293,1973.0,2216.0
sane-004,15,sane-3,2686.21220972957,1403.0,1227.0
sane-004,15,sane-4,4949.13787845385,2081.0,5206.0
sane-004,20,sane-1,3597.2857142857138,1955.0,2115.0
sane-004,20,sane-2,3712.4285714285716,1813.0,2216.0
sane-004,20,sane-3,2593.032370664315,1253.0,1227.0
sane-004,20,sane-4,7347.539057907112,2940.0,5206.0
sane-004,25,sane-1,3871.8597790417098,2055.0,2115.0
sane-004,25,sane-2,2834.8163181889604,1588.0,2216.0
sane-004,25,sane-3,2330.4341146031784,1416.0,1227.0
sane-004,25,sane-4,7455.493164856331,3377.0,5206.0
sane-004,30,sane-1,2883.9525183940377,1655.0,2115.0
sane-004,30,sane-2,4005.2724023049564,2063.0,2216.0
sane-004,30,sane-3,1827.1495814973127,1221.0,1227.0
sane-004,30,sane-4,8483.911212089406,3647.0,5206.0
sane-004,35,sane-1,3721.671081706319,2031.0,2115.0
sane-004,35,sane-2,4328.654552922566,2284.0,2216.0
sane-004,35,sane-3,2064.3590797131747,1328.0,1227.0
sane-004,35,sane-4,8309.867699968674,4045.0,5206.0
sane-004,40,sane-1,2920.582949999955,2202.0,2115.0
sane-004,40,sane-2,3207.299974981236,2474.0,2216.0
sane-004,40,sane-3,1676.814464467157,1352.0,1227.0
sane-004,40,sane-4,7330.6248522329115,4011.0,5206.0
sane-004,45,sane-1,2045.9354515886914,2132.0,2115.0
sane-004,45,sane-2,2584.4528396297223,2314.0,2216.0
sane-004,45,sane-3,1163.7497527080495,1182.0,1227.0
sane-004,45,sane-4,6572.538963829354,4836.0,5206.0
sane-008,5,sane-1,2897.5000395545812,1285.0,1772.0
sane-008,5,sane-2,2974.824130001445,1670.0,4483.0
sane-008,5,sane-3,3847.724891001163,1555.0,3569.0
sane-008,5,sane-4,2516.3828446502057,1450.0,3634.0
sane-008,10,sane-1,2507.589821369128,1281.0,1772.0
sane-008,10,sane-2,5231.552058559151,2013.0,4483.0
sane-008,10,sane-3,4642.9661357285095,2009.0,3569.0
sane-008,10,sane-4,3137.9607857835376,1382.0,3634.0
sane-008,15,sane-1,2497.3273429452993,1376.0,1772.0
sane-008,15,sane-2,5491.773814471085,2298.0,4483.0
sane-008,15,sane-3,5276.475176452368,2274.0,3569.0
sane-008,15,sane-4,2915.1379518455315,1387.0,3634.0
sane-008,20,sane-1,1056.142857142857,1321.0,1772.0
sane-008,20,sane-2,7306.298721340387,2913.0,4483.0
sane-008,20,sane-3,5998.8386059670775,2688.0,3569.0
sane-008,20,sane-4,2818.005529835391,1463.0,3634.0
sane-008,25,sane-1,1613.666186684035,1221.0,1772.0
sane-008,25,sane-2,7398.821449161452,3168.0,4483.0
sane-008,25,sane-3,6614.941295571829,2973.0,3569.0
sane-008,25,sane-4,2075.4282114398256,1418.0,3634.0
sane-008,30,sane-1,1385.4781073944073,1189.0,1772.0
sane-008,30,sane-2,7544.742038491072,3213.0,4483.0
sane-008,30,sane-3,9091.349591161747,3892.0,3569.0
sane-008,30,sane-4,1925.4302629527715,1393.0,3634.0
sane-008,35,sane-1,1271.6495810795059,1392.0,1772.0
sane-008,35,sane-2,8308.391406596616,3865.0,4483.0
sane-008,35,sane-3,6535.022625074758,3542.0,3569.0
sane-008,35,sane-4,3828.6914535488445,2138.0,3634.0
sane-008,40,sane-1,1149.832552640978,1377.0,1772.0
sane-008,40,sane-2,7009.946814259822,4165.0,4483.0
sane-008,40,sane-3,5965.772373463969,3813.0,3569.0
sane-008,40,sane-4,3644.047175836269,2358.0,3634.0
sane-008,45,sane-1,1402.8025615914437,1687.0,1772.0
sane-008,45,sane-2,5516.974511092063,4283.0,4483.0
sane-008,45,sane-3,4964.040970238183,4059.0,3569.0
sane-008,45,sane-4,3981.343578294222,2954.0,3634.0
sane-012,5,sane-1,3549.6634700176364,1800.0,2318.0
sane-012,5,sane-2,3439.7650627872154,1780.0,4803.0
sane-012,5,sane-3,3752.215887507092,1455.0,3367.0
sane-012,5,sane-4,3865.201630903768,1715.0,1517.0
sane-012,10,sane-1,3514.792585243974,1775.0,2318.0
sane-012,10,sane-2,4163.247464157246,1955.0,4803.0
sane-012,10,sane-3,3625.3424111145096,1610.0,3367.0
sane-012,10,sane-4,4126.71630960376,1960.0,1517.0
sane-012,15,sane-1,4149.539057907114,1935.0,2318.0
sane-012,15,sane-2,4137.188919837478,1990.0,4803.0
sane-012,15,sane-3,4914.372079339979,1966.0,3367.0
sane-012,15,sane-4,2984.0,2009.0,1517.0
sane-012,20,sane-1,4046.0431676026137,2085.0,2318.0
sane-012,20,sane-2,5234.312280240774,2555.0,4803.0
sane-012,20,sane-3,5000.856657289334,2196.0,3367.0
sane-012,20,sane-4,2733.787894867277,1539.0,1517.0
sane-012,25,sane-1,3198.3420275423305,1892.0,2318.0
