entity,controller_type,games,decisions,llm_calls,calls_per_decision,error_rate,fallback_rate,seconds_per_decision,tokens_per_decision,advice_diversity,emperor_adoption,initial_disagreement,minority_adoption,officer_decider_agreement
baseline,llm_baseline,48,3283,4012,1.2187,0.154,0.0019,12.6413,7961.9838,,,,,
fe,flat_ensemble,16,975,5064,5.1993,0.0006,0.0,57.3671,33984.9294,1.3587,0.898,0.3188,0.3885,0.7824
