game_id,entity,controller_type,seat,decisions,llm_calls,calls_per_decision,tokens_per_decision,seconds_per_decision,initial_disagreement,opinion_change,consensus_formation,decider_adoption_any,minority_adoption,review_intervention,fallback_rate,advice_diversity,officer_decider_agreement,error_rate__leader,error_rate__member_1,error_rate__member_2,error_rate__member_3,adoption__member_1,adoption__member_2,adoption__member_3,error_rate__baseline-1,error_rate__baseline-2,error_rate__baseline-3
FE01,fe,flat_ensemble,1,60,320,5.333333333333333,34623.45,53.5867,0.25,,,0.9,0.3076923076923077,,0.0,1.3,0.7948412698412698,0.0,0.0,0.0,0.0,0.7678571428571429,0.7833333333333333,0.8333333333333334,,,
FE01,baseline-1,llm_baseline,2,58,58,1.0,7128.689655172414,14.142551724137931,,,,,,,0.0,,,,,,,,,,0.0,,
FE01,baseline-2,llm_baseline,3,63,63,1.0,7580.984126984127,21.394238095238094,,,,,,,0.0,,,,,,,,,,,0.0,
FE01,baseline-3,llm_baseline,4,60,61,1.0166666666666666,7661.1,21.291316666666667,,,,,,,0.0,,,,,,,,,,,,0.01639344262295082
FE02,fe,flat_ensemble,1,93,472,5.075268817204301,35985.13978494624,80.27203225806451,0.7741935483870968,,,0.5280898876404494,0.7142857142857143,,0.0,2.053763440860215,0.3333333333333333,0.0,0.0,0.0,0.0,0.33707865168539325,0.29213483146067415,0.3707865168539326,,,
FE02,baseline-1,llm_baseline,2,72,80,1.1111111111111112,8222.013888888889,24.296041666666667,,,,,,,0.0,,,,,,,,,,0.1,,
FE02,baseline-2,llm_baseline,3,58,71,1.2241379310344827,8071.689655172414,15.791637931034483,,,,,,,0.0,,,,,,,,,,,0.18309859154929578,
FE02,baseline-3,llm_baseline,4,65,76,1.1692307692307693,8073.415384615385,20.512923076923077,,,,,,,0.0,,,,,,,,,,,,0.14473684210526316
FE03,fe,flat_ensemble,1,60,310,5.166666666666667,33242.36666666667,55.896899999999995,0.23333333333333334,,,0.9833333333333333,0.16666666666666666,,0.0,1.2333333333333334,0.9055555555555556,0.0,0.0,0.0,0.0,0.9166666666666666,0.9333333333333333,0.8666666666666667,,,
FE03,baseline-1,llm_baseline,2,94,140,1.4893617021276595,9037.27659574468,4.846095744680851,,,,,,,0.0,,,,,,,,,,0.32857142857142857,,
FE03,baseline-2,llm_baseline,3,67,110,1.6417910447761195,9800.985074626866,4.331208955223881,,,,,,,0.0,,,,,,,,,,,0.39090909090909093,
FE03,baseline-3,llm_baseline,4,60,103,1.7166666666666666,10369.316666666668,5.728666666666667,,,,,,,0.0,,,,,,,,,,,,0.4174757281553398
FE04,fe,flat_ensemble,1,56,291,5.196428571428571,32935.92857142857,48.98596428571428,0.14285714285714285,,,0.9464285714285714,0.4444444444444444,,0.0,1.1607142857142858,0.8901617250673856,0.0,0.0,0.0,0.0,0.9285714285714286,0.8490566037735849,0.8928571428571429,,,
FE04,baseline-1,llm_baseline,2,65,70,1.0769230769230769,6131.323076923077,3.435446153846154,,,,,,,0.0,,,,,,,,,,0.07142857142857142,,
FE04,baseline-2,llm_baseline,3,82,89,1.0853658536585367,6332.5609756097565,3.5110243902439024,,,,,,,0.0,,,,,,,,,,,0.07865168539325842,
FE04,baseline-3,llm_baseline,4,62,70,1.1290322580645162,6512.645161290323,3.710564516129032,,,,,,,0.016129032258064516,,,,,,,,,,,,0.12857142857142856
FE05,baseline-1,llm_baseline,1,61,67,1.098360655737705,7764.688524590164,20.318409836065573,,,,,,,0.0,,,,,,,,,,0.08955223880597014,,
FE05,fe,flat_ensemble,2,55,281,5.109090909090909,31977.072727272727,41.27869090909091,0.10909090909090909,,,0.9629629629629629,0.16666666666666666,,0.0,1.1090909090909091,0.9197530864197531,0.0,0.0,0.0,0.0,0.9444444444444444,0.8888888888888888,0.9259259259259259,,,
FE05,baseline-2,llm_baseline,3,71,79,1.1126760563380282,7846.760563380281,21.06487323943662,,,,,,,0.0,,,,,,,,,,,0.10126582278481013,
FE05,baseline-3,llm_baseline,4,74,80,1.0810810810810811,7428.486486486487,17.18341891891892,,,,,,,0.013513513513513514,,,,,,,,,,,,0.0875
FE06,baseline-1,llm_baseline,1,96,142,1.4791666666666667,9250.322916666666,5.632989583333334,,,,,,,0.0,,,,,,,,,,0.323943661971831,,
FE06,fe,flat_ensemble,2,60,322,5.366666666666666,35691.85,64.29325,0.4,,,0.9166666666666666,0.23809523809523808,,0.0,1.4,0.7752136752136751,0.0,0.0,0.0,0.0,0.7833333333333333,0.85,0.6923076923076923,,,
FE06,baseline-2,llm_baseline,3,57,101,1.7719298245614035,10607.087719298246,4.759614035087719,,,,,,,0.0,,,,,,,,,,,0.43564356435643564,
FE06,baseline-3,llm_baseline,4,72,110,1.5277777777777777,9314.152777777777,5.312180555555555,,,,,,,0.0,,,,,,,,,,,,0.34545454545454546
