game_id,entity,controller_type,seat,decisions,llm_calls,calls_per_decision,tokens_per_decision,seconds_per_decision,initial_disagreement,opinion_change,consensus_formation,decider_adoption_any,minority_adoption,review_intervention,fallback_rate,advice_diversity,officer_decider_agreement,error_rate__chief_grand_secretary,error_rate__emperor,error_rate__grand_secretary_1,error_rate__grand_secretary_2,adoption__chief_grand_secretary,adoption__grand_secretary_1,adoption__grand_secretary_2,error_rate__leader,error_rate__member_1,error_rate__member_2,error_rate__member_3,adoption__member_1,adoption__member_2,adoption__member_3
CF01,court-1,ming_court,1,59,371,6.288135593220339,43594.0,64.53918644067797,0.1864406779661017,0.37209302325581395,0.5454545454545454,1.0,0.0,,0.0,1.0847457627118644,0.9717514124293786,0.17488789237668162,0.0,0.014285714285714285,0.11538461538461539,1.0,0.9830508474576272,0.9322033898305084,,,,,,,
CF01,court-2,ming_court,2,91,736,8.087912087912088,65916.92307692308,114.91464835164835,0.7362637362637363,0.4752475247524752,0.2835820895522388,0.9111111111111111,0.15,,0.0,1.6153846153846154,0.6886304909560724,0.1687344913151365,0.031914893617021274,0.03067484662576687,0.04819277108433735,0.7325581395348837,0.7333333333333333,0.6,,,,,,,
CF01,fe-1,flat_ensemble,3,63,323,5.126984126984127,33766.88888888889,51.83779365079365,0.20634920634920634,,,0.9682539682539683,0.125,,0.0,1.2857142857142858,0.8770925492236966,,,,,,,,0.0,0.0,0.0,0.0,0.8852459016393442,0.8571428571428571,0.8888888888888888
CF01,fe-2,flat_ensemble,4,87,431,4.954022988505747,34747.63218390805,70.16297701149425,0.5402298850574713,,,0.7931034482758621,0.4827586206896552,,0.0,1.6206896551724137,0.6210953346855984,,,,,,,,0.0,0.0,0.0,0.0,0.5529411764705883,0.6666666666666666,0.6436781609195402
CF02,fe-1,flat_ensemble,1,59,309,5.237288135593221,33433.61016949153,43.39625423728813,0.2542372881355932,,,0.9655172413793104,0.46153846153846156,,0.0,1.2542372881355932,0.8448275862068965,,,,,,,,0.0,0.0,0.0,0.011627906976744186,0.8620689655172413,0.8448275862068966,0.8275862068965517
CF02,court-1,ming_court,2,63,387,6.142857142857143,44349.730158730155,68.15085714285713,0.2857142857142857,0.38181818181818183,0.6111111111111112,0.9838709677419355,0.2857142857142857,,0.0,1.1111111111111112,0.946057347670251,0.014285714285714285,0.16216216216216217,0.024096385542168676,0.024096385542168676,0.9833333333333333,0.9516129032258065,0.9032258064516129,,,,,,,
CF02,fe-2,flat_ensemble,3,61,316,5.180327868852459,34370.737704918036,54.815770491803285,0.2786885245901639,,,0.9322033898305084,0.5,,0.0,1.3114754098360655,0.8135593220338982,,,,,,,,0.0,0.0,0.0,0.0,0.8983050847457628,0.7796610169491526,0.7627118644067796
CF02,court-2,ming_court,4,96,689,7.177083333333333,59172.135416666664,103.63323958333332,0.5208333333333334,0.44171779141104295,0.38,0.875,0.21428571428571427,,0.0,1.375,0.7561769005847955,0.014450867052023121,0.19327731092436976,0.13529411764705881,0.006666666666666667,0.7789473684210526,0.7395833333333334,0.75,,,,,,,
CF06,court-1,ming_court,1,72,520,7.222222222222222,54179.47222222222,133.85465277777777,0.3611111111111111,0.4659090909090909,0.5384615384615384,0.9705882352941176,0.07692307692307693,,0.013888888888888888,1.1944444444444444,0.9113988879133744,0.10227272727272728,0.19540229885057472,0.08943089430894309,0.034482758620689655,0.9253731343283582,0.8676470588235294,0.9411764705882353,,,,,,,
CF06,fe-1,flat_ensemble,2,69,357,5.173913043478261,35146.434782608696,66.29798550724637,0.4492753623188406,,,0.7352941176470589,0.6666666666666666,,0.0,1.5072463768115942,0.6372549019607844,,,,,,,,0.011111111111111112,0.0,0.0,0.0,0.7058823529411765,0.5882352941176471,0.6176470588235294
