experiment,game_id,entity,controller_type,seat,decisions,llm_calls,p008_calls_per_decision,p008_tokens_per_decision,p008_seconds_per_decision,p001_initial_disagreement,p002_opinion_change,p003_consensus_formation,p004_decider_adoption_any,p005_minority_adoption,p006_review_intervention,p009_fallback_rate,p010_advice_diversity,p011_officer_decider_agreement,p009_error_rate__chief_grand_secretary,p009_error_rate__emperor,p009_error_rate__grand_secretary_1,p009_error_rate__grand_secretary_2,p004_adoption__chief_grand_secretary,p004_adoption__grand_secretary_1,p004_adoption__grand_secretary_2,p009_error_rate__baseline-1,p009_error_rate__baseline-2,p009_error_rate__baseline-3,p009_error_rate__chancellor,p009_error_rate__grand_marshal,p009_error_rate__imperial_counsellor,p004_adoption__chancellor,p004_adoption__grand_marshal,p009_error_rate__minister_1,p009_error_rate__minister_2,p009_error_rate__minister_3,p004_adoption__minister_1,p004_adoption__minister_2,p004_adoption__minister_3,p009_error_rate__menxia,p009_error_rate__shangshu,p009_error_rate__zhongshu,p004_adoption__zhongshu,p009_error_rate__leader,p009_error_rate__member_1,p009_error_rate__member_2,p009_error_rate__member_3,p004_adoption__member_1,p004_adoption__member_2,p004_adoption__member_3
court-vs-baseline,MI09,ming-court,ming_court,2,77,511,6.636363636363637,51543.68831168831,89.5451948051948,0.42857142857142855,0.48,0.48484848484848486,0.974025974025974,0.11764705882352941,,0.0,1.2207792207792207,0.8893698893698893,0.033210332103321034,0.01282051282051282,0.02702702702702703,0.1640625,0.9090909090909091,0.8888888888888888,0.8701298701298701,,,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI09,baseline-2,llm_baseline,3,63,109,1.7301587301587302,10697.888888888889,4.37847619047619,,,,,,,0.0,,,,,,,,,,,0.42201834862385323,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI09,baseline-3,llm_baseline,4,76,118,1.5526315789473684,9656.276315789473,4.004934210526316,,,,,,,0.0,,,,,,,,,,,,0.3559322033898305,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI10,baseline-1,llm_baseline,1,57,62,1.087719298245614,6215.350877192983,2.355719298245614,,,,,,,0.0,,,,,,,,,,0.08064516129032258,,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI10,ming-court,ming_court,2,87,605,6.954022988505747,56790.87356321839,112.49567816091954,0.5172413793103449,0.582089552238806,0.35555555555555557,0.8160919540229885,0.38461538461538464,,0.0,1.367816091954023,0.7065401407823221,0.0,0.011363636363636364,0.18125,0.043478260869565216,0.7126436781609196,0.7325581395348837,0.6744186046511628,,,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI10,baseline-2,llm_baseline,3,69,78,1.1304347826086956,6502.855072463768,2.5135507246376814,,,,,,,0.0,,,,,,,,,,,0.11538461538461539,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI10,baseline-3,llm_baseline,4,62,69,1.1129032258064515,6427.1612903225805,2.48508064516129,,,,,,,0.0,,,,,,,,,,,,0.10144927536231885,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI11,baseline-1,llm_baseline,1,69,69,1.0,7817.710144927536,19.716391304347827,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI11,baseline-2,llm_baseline,2,61,62,1.0163934426229508,7742.819672131148,22.967311475409836,,,,,,,0.0,,,,,,,,,,,0.016129032258064516,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI11,ming-court,ming_court,3,60,385,6.416666666666667,44563.75,66.766,0.26666666666666666,0.35,0.5,0.9833333333333333,0.2857142857142857,,0.0,1.15,0.9222222222222222,0.1645021645021645,0.01639344262295082,0.0,0.0,0.9333333333333333,0.9166666666666666,0.9166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI11,baseline-3,llm_baseline,4,61,62,1.0163934426229508,8572.622950819672,29.813180327868853,,,,,,,0.0,,,,,,,,,,,,0.016129032258064516,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI12,baseline-1,llm_baseline,1,59,104,1.7627118644067796,10585.898305084746,5.375559322033898,,,,,,,0.0,,,,,,,,,,0.4326923076923077,,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI12,baseline-2,llm_baseline,2,63,107,1.6984126984126984,10241.412698412698,4.789936507936508,,,,,,,0.0,,,,,,,,,,,0.411214953271028,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI12,ming-court,ming_court,3,86,632,7.348837209302325,59363.395348837206,120.44652325581396,0.5348837209302325,0.45,0.43478260869565216,0.9302325581395349,0.21739130434782608,,0.0,1.3255813953488371,0.8304957174800434,0.050156739811912224,0.022727272727272728,0.014814814814814815,0.2840909090909091,0.813953488372093,0.8823529411764706,0.7951807228915663,,,,,,,,,,,,,,,,,,,,,,,,,
