entity,controller_type,games,decisions,llm_calls,advice_diversity,calls_per_decision,emperor_adoption,error_rate,fallback_rate,initial_disagreement,minority_adoption,officer_decider_agreement,seconds_per_decision,tokens_per_decision,consensus_formation,opinion_change
fe,flat_ensemble,24,1561,7949,1.4374,5.0949,0.8713,0.0017,0.0,0.3675,0.4381,0.734,61.6283,33615.5044,,
ming,ming_court,24,1666,10974,1.2022,6.4868,0.9379,0.0597,0.001,0.3375,0.1742,0.8895,91.7543,48327.6236,0.5163,0.4302
