game_id,entity,controller_type,seat,decisions,llm_calls,calls_per_decision,tokens_per_decision,seconds_per_decision,initial_disagreement,opinion_change,consensus_formation,decider_adoption_any,minority_adoption,review_intervention,fallback_rate,advice_diversity,officer_decider_agreement,error_rate__emperor,error_rate__minister_1,error_rate__minister_2,error_rate__minister_3,adoption__minister_1,adoption__minister_2,adoption__minister_3,error_rate__chancellor,error_rate__grand_marshal,error_rate__imperial_counsellor,adoption__chancellor,adoption__grand_marshal,error_rate__menxia,error_rate__shangshu,error_rate__zhongshu,adoption__zhongshu,error_rate__chief_grand_secretary,error_rate__grand_secretary_1,error_rate__grand_secretary_2,adoption__chief_grand_secretary,adoption__grand_secretary_1,adoption__grand_secretary_2
game-001,shang-court,shang2_court,1,57,247,4.333333333333333,29615.56140350877,48.76956140350877,0.2631578947368421,,,1.0,,,0.0,1.2982456140350878,0.8807017543859649,0.0,0.14925373134328357,0.06557377049180328,0.0967741935483871,0.8,0.9298245614035088,0.9122807017543859,,,,,,,,,,,,,,,
game-001,qin-court,qin_court,2,70,295,4.214285714285714,29902.585714285713,39.81431428571428,0.2714285714285714,,,0.9242424242424242,,,0.0,1.2571428571428571,0.8181818181818181,0.0,,,,,,,0.10256410256410256,0.09090909090909091,0.0,0.8333333333333334,0.803030303030303,,,,,,,,,,
game-001,tang-court,tang_court,3,49,205,4.183673469387755,29476.714285714286,34.346326530612245,,0.5,,0.9574468085106383,,0.0,0.0,,0.9574468085106383,0.0,,,,,,,,,,,,0.0,0.0,0.05454545454545454,0.9574468085106383,,,,,,
game-001,ming-court,ming_court,4,75,579,7.72,59935.333333333336,107.00493333333333,0.5333333333333333,0.43846153846153846,0.375,0.9466666666666667,0.2,,0.0,1.36,0.8261861861861862,0.0,,,,,,,,,,,,,,,,0.29924242424242425,0.008620689655172414,0.07258064516129033,0.8918918918918919,0.8,0.7866666666666666
game-002,shang-court,shang2_court,1,85,358,4.211764705882353,32006.858823529412,67.92811764705883,0.6588235294117647,,,0.9764705882352941,,,0.0,1.8705882352941177,0.648995983935743,0.0,0.0449438202247191,0.0449438202247191,0.022988505747126436,0.7469879518072289,0.5176470588235295,0.6823529411764706,,,,,,,,,,,,,,,
game-002,qin-court,qin_court,2,58,238,4.103448275862069,28930.51724137931,44.17015517241379,0.07017543859649122,,,0.9655172413793104,,,0.0,1.0701754385964912,0.9476709013914095,0.03333333333333333,,,,,,,0.01694915254237288,0.04918032786885246,0.0,0.9298245614035088,0.9655172413793104,,,,,,,,,,
game-002,tang-court,tang_court,3,62,267,4.306451612903226,31481.612903225807,49.40096774193549,,1.0,1.0,0.9838709677419355,,0.07692307692307693,0.0,,0.9838709677419355,0.0,,,,,,,,,,,,0.0,0.0,0.028985507246376812,0.9838709677419355,,,,,,
game-002,ming-court,ming_court,4,56,362,6.464285714285714,45792.357142857145,64.96742857142857,0.375,0.3333333333333333,0.5714285714285714,0.9285714285714286,0.2222222222222222,,0.0,1.1607142857142858,0.8611111111111112,0.034482758620689655,,,,,,,,,,,,,,,,0.007518796992481203,0.19148936170212766,0.012987012987012988,0.8928571428571429,0.8571428571428571,0.8333333333333334
game-003,shang-court,shang2_court,1,61,263,4.311475409836065,29605.918032786885,44.785688524590164,0.11475409836065574,,,1.0,,,0.0,1.1639344262295082,0.938668392292206,0.0,0.016129032258064516,0.0,0.24050632911392406,0.9344262295081968,0.9649122807017544,0.9166666666666666,,,,,,,,,,,,,,,
game-003,qin-court,qin_court,2,67,281,4.1940298507462686,29630.582089552237,44.188,0.24193548387096775,,,0.9552238805970149,,,0.0,1.2096774193548387,0.8671160327395282,0.04285714285714286,,,,,,,0.10810810810810811,0.014705882352941176,0.028985507246376812,0.8955223880597015,0.8387096774193549,,,,,,,,,,
game-003,tang-court,tang_court,3,94,493,5.24468085106383,41838.65957446808,76.94091489361702,,0.7,0.9285714285714286,0.9444444444444444,,0.2641509433962264,0.0,,0.9444444444444444,0.0,,,,,,,,,,,,0.06716417910447761,0.0,0.27380952380952384,0.9444444444444444,,,,,,
game-003,ming-court,ming_court,4,64,415,6.484375,47978.625,71.82165625,0.296875,0.5,0.3157894736842105,1.0,0.16666666666666666,,0.0,1.234375,0.9140211640211641,0.25882352941176473,,,,,,,,,,,,,,,,0.05732484076433121,0.023255813953488372,0.034482758620689655,0.9166666666666666,0.9047619047619048,0.9206349206349206
game-004,shang-court,shang2_court,1,61,263,4.311475409836065,30185.77049180328,51.84837704918033,0.2786885245901639,,,1.0,,,0.0,1.3114754098360655,0.8942340305257209,0.0,0.031746031746031744,0.22077922077922077,0.016129032258064516,0.9344262295081968,0.8,0.9482758620689655,,,,,,,,,,,,,,,
game-004,qin-court,qin_court,2,60,255,4.25,29239.216666666667,41.12114999999999,0.26666666666666666,,,0.9833333333333333,,,0.0,1.2666666666666666,0.8583333333333334,0.03225806451612903,,,,,,,0.0,0.1044776119402985,0.09090909090909091,0.8666666666666667,0.85,,,,,,,,,,
game-004,tang-court,tang_court,3,56,266,4.75,32414.464285714286,35.41405357142857,,0.3333333333333333,0.8888888888888888,1.0,,0.16071428571428573,0.0,,1.0,0.0,,,,,,,,,,,,0.0,0.0,0.056338028169014086,1.0,,,,,,
game-004,ming-court,ming_court,4,67,458,6.835820895522388,50940.23880597015,80.1174776119403,0.3880597014925373,0.45569620253164556,0.38461538461538464,0.9552238805970149,0.14285714285714285,,0.0,1.2537313432835822,0.872919964571084,0.04285714285714286,,,,,,,,,,,,,,,,0.09659090909090909,0.010752688172043012,0.2773109243697479,0.8805970149253731,0.8787878787878788,0.859375
game-005,ming-court,ming_court,1,60,364,6.066666666666666,45638.88333333333,68.82678333333334,0.21666666666666667,0.45,0.6153846153846154,0.9661016949152542,0.25,,0.0,1.1,0.9265536723163841,0.14285714285714285,,,,,,,,,,,,,,,,0.043478260869565216,0.1566265060240964,0.0136986301369863,0.9152542372881356,0.9491525423728814,0.9152542372881356
game-005,shang-court,shang2_court,2,59,256,4.338983050847458,29777.593220338982,44.92152542372881,0.3220338983050847,,,0.9661016949152542,,,0.0,1.3728813559322033,0.8361581920903954,0.0,0.21621621621621623,0.04838709677419355,0.016666666666666666,0.7457627118644068,0.8983050847457628,0.864406779661017,,,,,,,,,,,,,,,
game-005,qin-court,qin_court,3,86,352,4.093023255813954,31034.68604651163,60.25770930232557,0.39759036144578314,,,0.8928571428571429,,,0.0,1.3855421686746987,0.7286155202821869,0.033707865168539325,,,,,,,0.011494252873563218,0.044444444444444446,0.0,0.8024691358024691,0.6547619047619048,,,,,,,,,,
