game,seat,z_luck,z_luck_massets,n_decisions,points,rank,net_worth
sane-116,2.0,-0.06944444444444448,-0.02916666666666662,10.0,2.0,2.0,2484.0
sane-116,3.0,-0.09621212121212114,-0.06287878787878792,11.0,0.0,4.0,1636.0
sane-116,4.0,-0.038461538461538436,-0.05769230769230771,13.0,1.0,3.0,2481.0
sane-117,1.0,0.11066308243727607,-0.017473118279569932,31.0,2.0,2.0,4052.0
sane-117,2.0,0.0028769841269841168,-0.03075396825396831,28.0,1.0,3.0,2686.0
sane-117,3.0,0.02651515151515149,0.022727272727272707,11.0,0.0,4.0,1783.0
sane-117,4.0,0.016028783308194905,0.06310960281548506,17.0,3.0,1.0,4688.0
sane-118,1.0,-0.056372549019607865,0.020588235294117574,17.0,0.0,4.0,2220.0
sane-118,2.0,0.04365079365079361,-0.007936507936507908,21.0,3.0,1.0,3317.0
sane-118,3.0,-0.022727272727272707,0.08712121212121215,22.0,2.0,2.0,2638.0
sane-118,4.0,-0.015306122448979609,0.04421768707482987,14.0,1.0,3.0,2445.0
sane-119,1.0,-0.05059523809523808,-0.0357142857142857,14.0,1.0,3.0,1702.0
sane-119,2.0,-0.12638888888888888,0.009722222222222299,18.0,2.0,2.0,3542.0
sane-119,3.0,0.01822916666666663,-0.018229166666666685,16.0,3.0,1.0,4655.0
sane-119,4.0,0.012780112044817993,0.015697945845004613,34.0,0.0,4.0,1194.0
sane-120,1.0,-0.043478260869565244,-0.04468599033816423,23.0,0.0,4.0,2530.0
sane-120,2.0,0.1217948717948718,0.038461538461538436,13.0,3.0,1.0,3731.0
sane-120,3.0,-0.08582899305555558,0.02007378472222221,16.0,1.0,3.0,2565.0
sane-120,4.0,-0.0010416666666667185,-0.0625,20.0,2.0,2.0,2609.0
sane-121,1.0,0.03713768115942029,0.06431159420289856,23.0,1.0,3.0,2699.0
sane-121,2.0,0.021825396825396748,-0.02777777777777779,21.0,0.0,4.0,2438.0
sane-121,3.0,0.014100241545893621,0.10627470355731217,23.0,2.0,2.0,2895.0
sane-121,4.0,-0.11742424242424243,-0.018939393939393923,11.0,3.0,1.0,3795.0
sane-122,1.0,0.08969387755102043,-0.07149659863945573,14.0,2.0,2.0,3409.0
sane-122,2.0,-0.049925595238095255,-0.005282738095238104,16.0,1.0,3.0,2759.0
sane-122,3.0,0.07870370370370361,0.030423280423280463,21.0,0.0,4.0,1903.0
sane-122,4.0,0.05286796536796534,0.02803030303030296,22.0,3.0,1.0,4597.0
sane-123,1.0,-0.03125,-0.008333333333333304,20.0,3.0,1.0,3972.0
sane-123,2.0,0.07751572327044032,0.011949685534591192,53.0,0.0,4.0,197.0
sane-123,3.0,0.050000000000000044,0.06874999999999998,20.0,2.0,2.0,3883.0
sane-123,4.0,-0.14266666666666666,-0.040166666666666684,25.0,1.0,3.0,3238.0
sane-124,1.0,0.08159722222222221,-0.01649305555555558,16.0,1.0,3.0,2110.0
sane-124,2.0,0.025689223057644095,-0.005952380952380931,14.0,3.0,1.0,4176.0
sane-124,3.0,-0.01318860877684408,-0.0003501400560223522,17.0,0.0,4.0,2056.0
sane-124,4.0,0.015584150326797386,0.04475081699346406,16.0,2.0,2.0,3246.0
sane-125,1.0,0.008145363408521344,0.04244987468671668,14.0,1.0,3.0,1785.0
sane-125,2.0,0.040361929702997235,0.005174972090533636,18.0,3.0,1.0,4633.0
sane-125,3.0,0.068888888888889,0.09166666666666667,15.0,2.0,2.0,2173.0
sane-125,4.0,-0.02329749103942652,-0.05421146953405015,31.0,0.0,4.0,1324.0
sane-126,1.0,-0.010964912280701788,-0.01315789473684209,19.0,1.0,3.0,3018.0
sane-126,2.0,-0.02653427359002203,0.018519718837323174,19.0,3.0,1.0,3659.0
sane-126,3.0,0.05332888176638173,-0.01823005698005692,48.0,0.0,4.0,0.0
sane-126,4.0,0.018274853801169555,0.005116959064327409,19.0,2.0,2.0,3070.0
sane-127,1.0,-0.01315789473684209,0.04385964912280704,19.0,3.0,1.0,5260.0
sane-127,2.0,-0.07675438596491224,-0.06578947368421051,19.0,2.0,2.0,3297.0
sane-127,3.0,0.06979033631332487,-0.0955903221228891,27.0,1.0,3.0,3125.0
sane-127,4.0,0.04787457912457915,0.07218013468013473,33.0,0.0,4.0,677.0
sane-128,1.0,0.05602240896358546,-0.012605042016806789,17.0,3.0,1.0,5111.0
sane-128,2.0,0.11403508771929827,0.15219298245614032,19.0,1.0,3.0,2162.0
sane-128,3.0,0.00347222222222221,0.0625,24.0,0.0,4.0,1019.0
sane-128,4.0,0.09206864564007411,0.03629406307977734,14.0,2.0,2.0,4057.0
sane-129,1.0,0.040123456790123524,-0.05452674897119336,27.0,2.0,2.0,3714.0
sane-129,2.0,0.08463541666666663,-0.04296875,16.0,1.0,3.0,3548.0
sane-129,3.0,-0.0377777777777778,-0.04222222222222222,25.0,0.0,4.0,650.0
sane-129,4.0,-0.0185688405797102,0.0015474033816424981,16.0,3.0,1.0,5446.0
sane-130,1.0,0.09913793103448276,0.047413793103448176,29.0,0.0,4.0,1016.0
sane-130,2.0,0.03749999999999998,-0.08333333333333337,10.0,2.0,2.0,4276.0
sane-130,3.0,-0.09928730413105413,-0.16887375356125356,16.0,1.0,3.0,1731.0
sane-130,4.0,0.014910130718954306,0.02440767973856206,24.0,3.0,1.0,4288.0
sane-131,1.0,0.028225806451612878,0.04435483870967738,31.0,1.0,3.0,2102.0
sane-131,2.0,0.04861111111111116,0.02777777777777779,18.0,0.0,4.0,1938.0
sane-131,3.0,0.05351307189542476,0.01225490196078427,17.0,3.0,1.0,4380.0
sane-131,4.0,0.02463786213786212,-0.0023386335886336207,39.0,2.0,2.0,3843.0
sane-132,1.0,-0.0014880952380952328,-0.005952380952380987,28.0,2.0,2.0,3360.0
sane-132,2.0,0.037262872628726296,0.00027100271002711285,41.0,0.0,4.0,0.0
sane-132,3.0,-0.001869658119658113,-0.025854700854700874,26.0,1.0,3.0,0.0
sane-132,4.0,0.055055055055055035,-0.01745495495495497,18.0,3.0,1.0,5636.0
sane-133,1.0,-0.01994047619047612,0.02767857142857144,14.0,2.0,2.0,3338.0
sane-133,2.0,0.09594515311185203,0.04614993897356523,20.0,3.0,1.0,5735.0
sane-133,3.0,0.046875,0.02372685185185175,24.0,1.0,3.0,2393.0
sane-133,4.0,0.01773182957393471,0.012813283208019999,38.0,0.0,4.0,1734.0
sane-134,1.0,0.022916666666666696,0.016666666666666607,20.0,2.0,2.0,2579.0
sane-134,2.0,0.019290123456790043,-0.02314814814814814,18.0,3.0,1.0,5029.0
sane-134,3.0,-0.021059359734231897,-0.051513087118905565,30.0,1.0,3.0,2187.0
sane-134,4.0,-0.01361111111111113,-0.028888888888888853,25.0,0.0,4.0,1702.0
sane-135,1.0,-0.08686868686868687,0.0005681818181818565,22.0,0.0,4.0,1387.0
sane-135,2.0,0.13775252525252513,0.06676487093153749,9.0,2.0,2.0,2539.0
sane-135,3.0,-0.012400793650793718,-0.0030143467643467536,26.0,1.0,3.0,2239.0
sane-135,4.0,0.008333333333333415,0.05833333333333335,10.0,3.0,1.0,6221.0
sane-136,1.0,0.013510101010100972,-0.025757575757575757,22.0,1.0,3.0,1834.0
sane-136,2.0,-0.011129879879880011,0.048721042471042475,37.0,0.0,4.0,1828.0
sane-136,3.0,0.010208333333333264,0.015625,20.0,3.0,1.0,5118.0
sane-136,4.0,0.007936507936507908,0.011904761904761862,21.0,2.0,2.0,2388.0
sane-137,1.0,0.03409090909090906,0.037878787878787845,22.0,3.0,1.0,5579.0
sane-137,2.0,0.060555555555555585,0.032777777777777795,15.0,2.0,2.0,2979.0
sane-137,3.0,-0.10370370370370369,-0.09166666666666673,15.0,1.0,3.0,1592.0
sane-137,4.0,0.05779579457368644,-0.02184034287137543,49.0,0.0,4.0,1241.0
sane-138,1.0,0.07113095238095235,-0.038541666666666696,28.0,3.0,1.0,4853.0
sane-138,2.0,0.03941798941798946,-0.014153439153439085,21.0,1.0,3.0,2436.0
sane-138,3.0,-0.012499999999999956,0.013194444444444509,30.0,0.0,4.0,1651.0
sane-138,4.0,0.05611111111111111,0.028888888888888853,30.0,2.0,2.0,2641.0
sane-139,1.0,0.0870833333333334,0.02083333333333326,20.0,2.0,2.0,2938.0
sane-139,2.0,-0.04722222222222222,-0.015079365079365081,21.0,0.0,4.0,2136.0
sane-139,3.0,-0.04738562091503273,0.005718954248365993,17.0,3.0,1.0,3962.0
sane-139,4.0,0.011111111111111072,0.030555555555555558,15.0,1.0,3.0,2647.0
sane-140,1.0,-0.0666666666666666,-0.03749999999999998,10.0,3.0,1.0,4547.0
sane-140,2.0,-0.052516233766233766,0.03987193362193364,22.0,1.0,3.0,1899.0
sane-140,3.0,0.04655349794238672,-0.03600823045267493,18.0,2.0,2.0,2573.0
sane-140,4.0,-0.005333333333333301,-0.03999999999999998,25.0,0.0,4.0,1763.0
