experiment,controller_type,seat,mean_delta_v_executed,mean_regret,n_decisions,game_index
sane_random,sane_random,1.0,54.01376346813207,48.69849699533141,64.0,0
sane_random,sane_random,2.0,-2.2073702190193445,64.84422640716278,70.0,0
sane_random,sane_random,3.0,57.315597500022356,57.97503796101494,60.0,0
sane_random,sane_random,4.0,-27.574456842481883,98.26421507544045,57.0,0
sane_random,sane_random,1.0,74.4974980144509,125.1300167434806,60.0,1
sane_random,sane_random,2.0,83.16463981763684,80.22503953786004,58.0,1
sane_random,sane_random,3.0,-19.704679725258174,61.74167739212482,53.0,1
sane_random,sane_random,4.0,-7.700616158008651,132.76283483775228,59.0,1
sane_random,sane_random,1.0,42.7637364570446,46.77434900029998,62.0,2
sane_random,sane_random,2.0,50.31772368056005,59.49372674322485,62.0,2
sane_random,sane_random,3.0,28.813775175831488,62.93975261550115,61.0,2
sane_random,sane_random,4.0,5.8188374763634885,84.77403654324442,62.0,2
sane_random,sane_random,1.0,48.08885066307324,87.63866480000733,63.0,3
sane_random,sane_random,2.0,50.35315214849111,60.894152130175534,62.0,3
sane_random,sane_random,3.0,29.983369148941772,18.374427662330003,57.0,3
sane_random,sane_random,4.0,-55.12880366635756,135.48518889513488,59.0,3
sane_random,sane_random,1.0,99.87033474634175,81.9339331169764,58.0,4
sane_random,sane_random,2.0,35.33121041204336,103.79665322023399,70.0,4
sane_random,sane_random,3.0,66.96046821213694,38.30307742787156,59.0,4
sane_random,sane_random,4.0,30.420463254359344,126.63344392994716,60.0,4
sane_random,sane_random,1.0,68.49454726486101,31.16388488784722,55.0,5
sane_random,sane_random,2.0,73.45092651288084,61.68302599315032,62.0,5
sane_random,sane_random,3.0,30.435294686536523,77.91743777370903,63.0,5
sane_random,sane_random,4.0,-37.465856814709205,108.32164968934556,59.0,5
sane_random,sane_random,1.0,40.445311621692674,73.61947055207781,59.0,6
sane_random,sane_random,2.0,29.128731439619436,94.18364555004757,69.0,6
sane_random,sane_random,3.0,73.85252463810018,58.09157260752257,66.0,6
sane_random,sane_random,4.0,13.758452584203088,165.17299373022868,60.0,6
sane_random,sane_random,1.0,38.88566001787247,44.94924998337118,62.0,7
sane_random,sane_random,2.0,59.91923353774427,72.75760515328848,60.0,7
sane_random,sane_random,3.0,28.59509310348873,198.28274246364157,63.0,7
sane_random,sane_random,4.0,-16.77878708932244,67.3661001886608,61.0,7
sane_random,sane_random,1.0,45.78517436344775,116.25251602064805,55.0,8
sane_random,sane_random,2.0,67.58843797285512,90.42250000270619,57.0,8
sane_random,sane_random,3.0,43.8217750802008,70.55527065251235,57.0,8
sane_random,sane_random,4.0,94.7141852539855,111.71138930185917,62.0,8
sane_random,sane_random,1.0,50.174860810623,67.31398068512786,59.0,9
sane_random,sane_random,2.0,29.090736367899513,65.56445621795729,65.0,9
sane_random,sane_random,3.0,36.91047753356901,137.1315339049098,57.0,9
sane_random,sane_random,4.0,52.94923428784532,21.972767184794495,59.0,9
sane_random,sane_random,1.0,13.197317398072554,88.74980185112082,58.0,10
sane_random,sane_random,2.0,153.21186418624183,109.51102363710208,62.0,10
sane_random,sane_random,3.0,56.92355418135461,3.926700222848984,55.0,10
sane_random,sane_random,4.0,29.827146741535525,14.380232296864072,53.0,10
sane_random,sane_random,1.0,25.36128911617817,57.83498049977164,56.0,11
sane_random,sane_random,2.0,84.07227465011854,42.94625201072895,62.0,11
sane_random,sane_random,3.0,103.75204745021226,113.66566988876811,61.0,11
sane_random,sane_random,4.0,42.91334933219097,118.45022682340404,67.0,11
sane_random,sane_random,1.0,85.004213976246,100.70406108687718,64.0,12
sane_random,sane_random,2.0,124.02389794683444,27.004874076560757,58.0,12
sane_random,sane_random,3.0,50.33154087281875,49.885788738538565,57.0,12
sane_random,sane_random,4.0,19.53573178276955,75.49423656325932,57.0,12
sane_random,sane_random,1.0,20.781454781296183,50.30730422467486,63.0,13
sane_random,sane_random,2.0,43.50281849177394,32.595020864547664,52.0,13
sane_random,sane_random,3.0,77.11641711812202,24.40125146168402,62.0,13
sane_random,sane_random,4.0,25.559031983573206,178.96097931594917,63.0,13
sane_random,sane_random,1.0,38.6861183267792,76.58908066731684,57.0,14
sane_random,sane_random,2.0,39.43800859617283,76.43325858014133,59.0,14
sane_random,sane_random,3.0,-16.109372370508815,112.62817314654707,72.0,14
sane_random,sane_random,4.0,8.993261932461875,371.6495831689472,60.0,14
sane_random,sane_random,1.0,75.30638185472624,136.29901750017086,62.0,15
sane_random,sane_random,2.0,90.91123749350758,76.16439645989834,59.0,15
sane_random,sane_random,3.0,35.18477893518117,64.18063633096739,60.0,15
sane_random,sane_random,4.0,22.78555012929097,157.11839687478795,59.0,15
sane_random,sane_random,1.0,50.980974509661365,69.22086726819529,59.0,16
sane_random,sane_random,2.0,54.082336811664945,34.69462823845295,59.0,16
sane_random,sane_random,3.0,16.150036036127347,26.082499055535386,55.0,16
sane_random,sane_random,4.0,-21.800339214089604,74.84451917546292,56.0,16
sane_random,sane_random,1.0,36.84232194177813,64.53366774670589,39.0,17
sane_random,sane_random,2.0,61.41171979289639,101.21708279423973,59.0,17
sane_random,sane_random,3.0,115.5070958085402,111.31560855040382,71.0,17
sane_random,sane_random,4.0,11.999073951206215,84.67090053282044,58.0,17
sane_random,sane_random,1.0,86.1134139475946,29.151597254808948,61.0,18
sane_random,sane_random,2.0,70.7422044751992,106.23219717429107,68.0,18
sane_random,sane_random,3.0,88.56487745268429,66.37498337394636,58.0,18
sane_random,sane_random,4.0,16.913667839997952,108.08642026260638,71.0,18
sane_random,sane_random,1.0,134.7690736577279,191.91517612694494,59.0,19
sane_random,sane_random,2.0,33.49919584676054,16.767019300542916,56.0,19
sane_random,sane_random,3.0,84.80575570606157,85.18593439711915,59.0,19
sane_random,sane_random,4.0,28.85937256181093,27.61278746639143,58.0,19
sane_random,sane_random,1.0,5.097190470855752,46.64998817584219,59.0,20
sane_random,sane_random,2.0,59.17507104008511,77.9606510839747,62.0,20
sane_random,sane_random,3.0,96.38800307748417,97.85655436075606,56.0,20
sane_random,sane_random,4.0,22.46856412188955,58.48765224761753,60.0,20
sane_random,sane_random,1.0,14.65070064190906,54.961708778062786,58.0,21
sane_random,sane_random,2.0,25.643832827841678,61.6183628160318,64.0,21
sane_random,sane_random,3.0,109.89597708134019,158.10626607273275,63.0,21
sane_random,sane_random,4.0,26.057270589669802,208.9994762228035,59.0,21
sane_random,sane_random,1.0,40.40889781517855,60.7465259840996,57.0,22
sane_random,sane_random,2.0,39.94533078425139,34.062168677967385,59.0,22
sane_random,sane_random,3.0,52.026529270224565,61.10165816372507,61.0,22
sane_random,sane_random,4.0,-45.44447149633074,115.55756478572556,57.0,22
sane_random,sane_random,1.0,15.247901661468426,94.26663475544473,82.0,23
sane_random,sane_random,2.0,34.550963631496806,16.274086940173245,63.0,23
sane_random,sane_random,3.0,68.55441901783968,10.646187945394027,54.0,23
sane_random,sane_random,4.0,-25.28201475043671,86.95923287219671,72.0,23
sane_random,sane_random,1.0,10.703197278596631,48.039301482362816,67.0,24
sane_random,sane_random,2.0,76.56398695819952,114.76384240486196,76.0,24
sane_random,sane_random,3.0,44.793277205524184,48.99291054669934,57.0,24
sane_random,sane_random,4.0,37.3036954285291,176.8770072846813,61.0,24
sane_random,sane_random,1.0,4.867919935301878,71.79105914956007,57.0,25
sane_random,sane_random,2.0,-9.746540143444342,101.34123982460152,60.0,25
sane_random,sane_random,3.0,69.28092933290544,57.39772003895042,66.0,25
sane_random,sane_random,4.0,58.389160954045856,98.16896410628499,48.0,25
sane_random,sane_random,1.0,57.79649945382188,99.3453070371885,59.0,26
sane_random,sane_random,2.0,97.12910296023847,167.33676784258577,66.0,26
sane_random,sane_random,3.0,59.387078509753444,73.72629398079232,59.0,26
sane_random,sane_random,4.0,0.47164519606264754,91.18430722761346,64.0,26
sane_random,sane_random,1.0,66.931547800332,112.67656445750819,60.0,27
sane_random,sane_random,2.0,14.528564420801521,9.49526211428103,53.0,27
sane_random,sane_random,3.0,177.87336221283007,16.55277102899295,55.0,27
sane_random,sane_random,4.0,31.237776095175494,92.57718466037572,63.0,27
sane_random,sane_random,1.0,59.766123646669456,52.58571603146754,61.0,28
sane_random,sane_random,2.0,135.41004077957493,69.82531250335265,58.0,28
sane_random,sane_random,3.0,35.72233932672812,33.25580304771259,60.0,28
sane_random,sane_random,4.0,34.024473328042525,65.41840776161747,60.0,28
sane_random,sane_random,1.0,123.98453191597831,165.83561479241268,63.0,29
sane_random,sane_random,2.0,63.922525611252155,35.89319065917279,59.0,29
sane_random,sane_random,3.0,95.36891445699283,84.60021586392234,63.0,29
sane_random,sane_random,4.0,3.7103727027608744,149.67624951401055,59.0,29
sane_random,sane_random,1.0,37.51556327003651,79.73380366236138,57.0,30
sane_random,sane_random,2.0,76.76580782854519,85.68058945258315,62.0,30
sane_random,sane_random,3.0,65.8268915580005,63.809118481911455,58.0,30
sane_random,sane_random,4.0,22.307206702060984,102.43442219038117,54.0,30
sane_random,sane_random,1.0,85.33792246022111,64.93298339763592,56.0,31
sane_random,sane_random,2.0,-17.151174811837922,129.17973839856074,72.0,31
sane_random,sane_random,3.0,45.888660737778935,34.79297254018046,62.0,31
sane_random,sane_random,4.0,-41.50976755793528,93.2294373777523,57.0,31
sane_random,sane_random,1.0,28.99861654606699,36.194039360236204,59.0,32
sane_random,sane_random,2.0,43.02516611178907,57.67186315776578,58.0,32
sane_random,sane_random,3.0,40.99320872531173,30.114000421793083,59.0,32
sane_random,sane_random,4.0,11.283840286839053,255.67946627110112,59.0,32
sane_random,sane_random,1.0,19.736526998166084,110.62620679255815,67.0,33
sane_random,sane_random,2.0,38.302813333168714,51.00310720598313,61.0,33
sane_random,sane_random,3.0,51.043895136426876,63.726527294801215,62.0,33
sane_random,sane_random,4.0,-13.639773413692714,146.0246399475912,63.0,33
sane_random,sane_random,1.0,19.639157514321134,129.23882578547583,65.0,34
sane_random,sane_random,2.0,58.13554573696415,44.78929449821417,58.0,34
sane_random,sane_random,3.0,22.45057605468202,57.16302243966604,63.0,34
sane_random,sane_random,4.0,29.9715424407614,27.50138363392676,58.0,34
sane_random,sane_random,1.0,145.18093960154962,33.707081494471545,57.0,35
sane_random,sane_random,2.0,18.625288012232154,86.59620348732038,50.0,35
sane_random,sane_random,3.0,72.5803178073991,48.43274490349437,62.0,35
sane_random,sane_random,4.0,29.805089331320968,155.2281452687404,68.0,35
sane_random,sane_random,1.0,3.3719608909447314,59.89994186275034,36.0,36
sane_random,sane_random,2.0,142.25199118571587,79.46683614521339,59.0,36
sane_random,sane_random,3.0,108.45984419364198,139.9708452612933,59.0,36
sane_random,sane_random,4.0,84.35655120287288,75.82064042898286,61.0,36
sane_random,sane_random,1.0,16.547090067129435,41.550807729599754,58.0,37
sane_random,sane_random,2.0,75.71606363055653,112.91413703382725,65.0,37
sane_random,sane_random,3.0,16.08601580614907,100.48067347374928,61.0,37
