entity,controller_type,games,decisions,llm_calls,advice_diversity,calls_per_decision,emperor_adoption,error_rate,fallback_rate,initial_disagreement,minority_adoption,officer_decider_agreement,seconds_per_decision,tokens_per_decision,consensus_formation,opinion_change
fe,flat_ensemble,24,1562,8047,1.4161,5.1531,0.8823,0.0013,0.0,0.3566,0.4309,0.7476,60.3357,34048.7359,,
ming,ming_court,24,1712,11538,1.229,6.6547,0.9268,0.0716,0.001,0.3633,0.1797,0.8738,95.0905,50373.2509,0.4868,0.4341
