game_id,entity,controller_type,seat,decisions,llm_calls,calls_per_decision,tokens_per_decision,seconds_per_decision,initial_disagreement,opinion_change,consensus_formation,emperor_adoption,minority_adoption,review_intervention,fallback_rate,error_rate,advice_diversity,officer_decider_agreement
CF01,court-1,ming_court,1,59,371,6.288135593220339,43594.0,64.53918644067797,0.1864406779661017,0.37209302325581395,0.5454545454545454,0.9830508474576272,0.0,,0.0,0.11395348837209303,1.0847457627118644,0.9715909090909091
CF01,court-2,ming_court,2,91,736,8.087912087912088,65916.92307692308,114.91464835164835,0.7362637362637363,0.4752475247524752,0.2835820895522388,0.8444444444444444,0.15,,0.0,0.1016949152542373,1.6153846153846154,0.6879699248120301
CF01,fe-1,flat_ensemble,3,63,323,5.126984126984127,33766.88888888889,51.83779365079365,0.20634920634920634,,,0.9682539682539683,0.125,,0.0,0.0,1.2857142857142858,0.8770053475935828
CF01,fe-2,flat_ensemble,4,87,431,4.954022988505747,34747.63218390805,70.16297701149425,0.5402298850574713,,,0.7931034482758621,0.4827586206896552,,0.0,0.0,1.6206896551724137,0.6216216216216216
CF02,fe-1,flat_ensemble,1,59,309,5.237288135593221,33433.61016949153,43.39625423728813,0.2542372881355932,,,0.9655172413793104,0.46153846153846156,,0.0,0.003236245954692557,1.2542372881355932,0.8448275862068966
CF02,court-1,ming_court,2,63,387,6.142857142857143,44349.730158730155,68.15085714285713,0.2857142857142857,0.38181818181818183,0.6111111111111112,0.967741935483871,0.2857142857142857,,0.0,0.042222222222222223,1.1111111111111112,0.9456521739130435
CF02,fe-2,flat_ensemble,3,61,316,5.180327868852459,34370.737704918036,54.815770491803285,0.2786885245901639,,,0.9322033898305084,0.5,,0.0,0.0,1.3114754098360655,0.8135593220338984
CF02,court-2,ming_court,4,96,689,7.177083333333333,59172.135416666664,103.63323958333332,0.5208333333333334,0.44171779141104295,0.38,0.84375,0.21428571428571427,,0.0,0.06624203821656051,1.375,0.7560975609756098
CF03,court-1,ming_court,1,60,342,5.7,37891.083333333336,62.789633333333335,0.15,0.35294117647058826,0.5555555555555556,1.0,0.0,,0.0,0.03731343283582089,1.0666666666666667,0.9776536312849162
CF03,fe-1,flat_ensemble,2,64,333,5.203125,34888.703125,86.93709375,0.46875,,,0.859375,0.3181818181818182,,0.0,0.006006006006006006,1.5625,0.6666666666666666
CF03,fe-2,flat_ensemble,3,57,290,5.087719298245614,31810.21052631579,47.13082456140351,0.07017543859649122,,,0.9824561403508771,0.5,,0.0,0.0,1.105263157894737,0.9415204678362573
CF03,court-2,ming_court,4,70,467,6.671428571428572,50778.91428571429,143.38555714285712,0.35714285714285715,0.42168674698795183,0.52,0.9714285714285714,0.09090909090909091,,0.0,0.08379888268156424,1.1857142857142857,0.9142857142857143
CF04,fe-1,flat_ensemble,1,64,326,5.09375,33947.734375,68.760578125,0.296875,,,0.890625,0.5454545454545454,,0.0,0.006134969325153374,1.328125,0.8125
CF04,fe-2,flat_ensemble,2,77,392,5.090909090909091,34144.67532467532,72.24636363636364,0.6363636363636364,,,0.8181818181818182,0.5,,0.0,0.0,1.7792207792207793,0.5367965367965368
CF04,court-1,ming_court,3,62,341,5.5,37423.41935483871,61.90401612903226,0.12903225806451613,0.3333333333333333,0.875,0.967741935483871,0.0,,0.0,0.017369727047146403,1.0161290322580645,0.9615384615384616
CF04,court-2,ming_court,4,61,349,5.721311475409836,39953.19672131148,60.23611475409836,0.19672131147540983,0.3684210526315789,0.6666666666666666,0.9836065573770492,0.0,,0.0,0.01951219512195122,1.0655737704918034,0.9613259668508287
CF05,court-1,ming_court,1,60,378,6.3,45000.35,80.80241666666667,0.23333333333333334,0.6170212765957447,0.35714285714285715,1.0,0.1111111111111111,,0.0,0.08466819221967964,1.15,0.9438202247191011
CF05,fe-1,flat_ensemble,2,81,426,5.2592592592592595,37344.61728395062,87.88955555555556,0.7654320987654321,,,0.8024691358024691,0.5128205128205128,,0.0,0.0,2.0,0.5084033613445378
CF05,court-2,ming_court,3,71,524,7.380281690140845,55292.47887323944,107.1825352112676,0.38028169014084506,0.3904761904761905,0.48148148148148145,0.9571428571428572,0.18181818181818182,,0.0,0.14839797639123103,1.267605633802817,0.8873239436619719
CF05,fe-2,flat_ensemble,4,77,413,5.363636363636363,35933.36363636364,65.42744155844156,0.4805194805194805,,,0.922077922077922,0.6206896551724138,,0.0,0.004842615012106538,1.5324675324675325,0.6916299559471366
CF06,court-1,ming_court,1,72,520,7.222222222222222,54179.47222222222,133.85465277777777,0.3611111111111111,0.4659090909090909,0.5384615384615384,0.9705882352941176,0.07692307692307693,,0.013888888888888888,0.1,1.1944444444444444,0.9113300492610837
CF06,fe-1,flat_ensemble,2,69,357,5.173913043478261,35146.434782608696,66.29798550724637,0.4492753623188406,,,0.7352941176470589,0.6666666666666666,,0.0,0.0028011204481792717,1.5072463768115942,0.6372549019607843
CF06,fe-2,flat_ensemble,3,71,371,5.225352112676056,35543.464788732395,63.55632394366197,0.6901408450704225,,,0.8235294117647058,0.525,,0.0,0.0,1.8591549295774648,0.5147058823529411
CF06,court-2,ming_court,4,89,644,7.235955056179775,57730.76404494382,131.59244943820224,0.47191011235955055,0.48091603053435117,0.42857142857142855,0.7816091954022989,0.3333333333333333,,0.011235955056179775,0.07397260273972603,1.3146067415730338,0.7203065134099617
CF07,court-1,ming_court,1,73,497,6.808219178082192,52203.09589041096,88.00071232876712,0.4246575342465753,0.40816326530612246,0.5483870967741935,0.9726027397260274,0.08333333333333333,,0.0,0.07368421052631578,1.2191780821917808,0.9036697247706422
CF07,court-2,ming_court,2,72,514,7.138888888888889,56319.26388888889,101.20238888888889,0.5,0.509090909090909,0.3611111111111111,0.9166666666666666,0.21052631578947367,,0.0,0.08376068376068375,1.375,0.8457943925233645
CF07,fe-1,flat_ensemble,3,62,318,5.129032258064516,34712.290322580644,62.59246774193549,0.43548387096774194,,,0.8870967741935484,0.4583333333333333,,0.0,0.0,1.4516129032258065,0.7377049180327869
CF07,fe-2,flat_ensemble,4,55,292,5.3090909090909095,34571.92727272727,47.686890909090906,0.10909090909090909,,,0.8363636363636363,0.4,,0.0,0.0,1.0909090909090908,0.806060606060606
CF08,court-1,ming_court,1,86,598,6.953488372093023,58493.74418604651,108.19926744186047,0.5116279069767442,0.4696969696969697,0.45454545454545453,0.8023255813953488,0.391304347826087,,0.0,0.05847953216374269,1.2906976744186047,0.7490196078431373
CF08,fe-1,flat_ensemble,2,55,285,5.181818181818182,34199.07272727273,53.14741818181818,0.38181818181818183,,,0.9090909090909091,0.4666666666666667,,0.0,0.0,1.4545454545454546,0.7453416149068323
CF08,court-2,ming_court,3,58,319,5.5,37909.379310344826,50.78731034482759,0.1206896551724138,0.4090909090909091,0.7142857142857143,1.0,0.0,,0.0,0.021220159151193633,1.0344827586206897,0.9883040935672515
CF08,fe-2,flat_ensemble,4,71,364,5.126760563380282,35164.19718309859,71.25363380281689,0.4084507042253521,,,0.8028169014084507,0.47619047619047616,,0.0,0.0,1.4507042253521127,0.6908212560386473
CF09,fe-1,flat_ensemble,1,58,297,5.120689655172414,33114.55172413793,45.09843103448276,0.08620689655172414,,,0.9827586206896551,0.0,,0.0,0.0,1.0689655172413792,0.9595375722543352
CF09,fe-2,flat_ensemble,2,65,339,5.2153846153846155,35835.8,69.93627692307693,0.6615384615384615,,,0.8615384615384616,0.32,,0.0,0.0,1.9076923076923078,0.5947368421052631
CF09,court-1,ming_court,3,75,547,7.293333333333333,55679.4,92.06550666666666,0.52,0.4576271186440678,0.4358974358974359,0.9333333333333333,0.19047619047619047,,0.0,0.09646302250803858,1.3066666666666666,0.8609865470852018
CF09,court-2,ming_court,4,74,552,7.45945945945946,57690.08108108108,98.16886486486487,0.5540540540540541,0.49206349206349204,0.3170731707317073,0.9041095890410958,0.20833333333333334,,0.0,0.0944,1.4324324324324325,0.8018018018018018
CF10,fe-1,flat_ensemble,1,57,293,5.140350877192983,32721.087719298244,55.425122807017544,0.17543859649122806,,,0.9074074074074074,0.6666666666666666,,0.0,0.0034129692832764505,1.1578947368421053,0.8641975308641975
CF10,court-1,ming_court,2,69,426,6.173913043478261,46093.739130434784,80.52263768115942,0.2608695652173913,0.4576271186440678,0.6111111111111112,0.9420289855072463,0.16666666666666666,,0.0,0.048484848484848485,1.1159420289855073,0.9130434782608695
CF10,court-2,ming_court,3,92,643,6.989130434782608,60446.95652173913,118.87156521739129,0.42391304347826086,0.5245901639344263,0.358974358974359,0.8555555555555555,0.23809523809523808,,0.0,0.09673024523160763,1.358695652173913,0.7744360902255639
CF10,fe-2,flat_ensemble,4,64,332,5.1875,33918.859375,60.715171875,0.1875,,,0.7903225806451613,0.42857142857142855,,0.0,0.0,1.234375,0.7258064516129032
CF11,fe-1,flat_ensemble,1,64,313,4.890625,30573.453125,46.331296875,0.21875,,,0.9375,0.4166666666666667,,0.0,0.0,1.21875,0.859375
CF11,court-1,ming_court,2,78,555,7.115384615384615,57326.0641025641,129.73271794871795,0.5384615384615384,0.45864661654135336,0.2857142857142857,0.8974358974358975,0.2962962962962963,,0.0,0.061611374407582936,1.4230769230769231,0.8138528138528138
CF11,fe-2,flat_ensemble,3,58,291,5.017241379310345,31371.98275862069,47.62515517241379,0.15517241379310345,,,0.9827586206896551,0.4,,0.0,0.0,1.1724137931034482,0.9137931034482759
