game_id,entity,controller_type,seat,decisions,llm_calls,calls_per_decision,tokens_per_decision,seconds_per_decision,initial_disagreement,opinion_change,consensus_formation,emperor_adoption,minority_adoption,review_intervention,fallback_rate,error_rate,advice_diversity,officer_decider_agreement
game-001,shang-court,shang2_court,1,57,247,4.333333333333333,29615.56140350877,48.76956140350877,0.2631578947368421,,,1.0,,,0.0,0.08097165991902834,1.2982456140350878,0.8816568047337278
game-001,qin-court,qin_court,2,70,295,4.214285714285714,29902.585714285713,39.81431428571428,0.2714285714285714,,,0.9242424242424242,,,0.0,0.05084745762711865,1.2571428571428571,0.8181818181818182
game-001,tang-court,tang_court,3,49,205,4.183673469387755,29476.714285714286,34.346326530612245,,0.5,,0.9574468085106383,,0.0,0.0,0.014634146341463415,,0.9574468085106383
game-001,ming-court,ming_court,4,75,579,7.72,59935.333333333336,107.00493333333333,0.5333333333333333,0.43846153846153846,0.375,0.9,0.2,,0.0,0.153713298791019,1.36,0.8258928571428571
game-002,shang-court,shang2_court,1,85,358,4.211764705882353,32006.858823529412,67.92811764705883,0.6588235294117647,,,0.9764705882352941,,,0.0,0.027932960893854747,1.8705882352941177,0.6482213438735178
game-002,qin-court,qin_court,2,58,238,4.103448275862069,28930.51724137931,44.17015517241379,0.07017543859649122,,,0.9655172413793104,,,0.0,0.025210084033613446,1.0701754385964912,0.9478260869565217
game-002,tang-court,tang_court,3,62,267,4.306451612903226,31481.612903225807,49.40096774193549,,1.0,1.0,0.9838709677419355,,0.07692307692307693,0.0,0.00749063670411985,,0.9838709677419355
game-002,ming-court,ming_court,4,56,362,6.464285714285714,45792.357142857145,64.96742857142857,0.375,0.3333333333333333,0.5714285714285714,0.8928571428571429,0.2222222222222222,,0.0,0.06077348066298342,1.1607142857142858,0.8614457831325302
game-003,shang-court,shang2_court,1,61,263,4.311475409836065,29605.918032786885,44.785688524590164,0.11475409836065574,,,1.0,,,0.0,0.07604562737642585,1.1639344262295082,0.9382022471910112
game-003,qin-court,qin_court,2,67,281,4.1940298507462686,29630.582089552237,44.188,0.24193548387096775,,,0.9552238805970149,,,0.0,0.0498220640569395,1.2096774193548387,0.8682170542635659
game-003,tang-court,tang_court,3,94,493,5.24468085106383,41838.65957446808,76.94091489361702,,0.7,0.9285714285714286,0.9444444444444444,,0.2641509433962264,0.0,0.11156186612576065,,0.9444444444444444
game-003,ming-court,ming_court,4,64,415,6.484375,47978.625,71.82165625,0.296875,0.5,0.3157894736842105,0.967741935483871,0.16666666666666666,,0.0,0.08674698795180723,1.234375,0.9139784946236559
game-004,shang-court,shang2_court,1,61,263,4.311475409836065,30185.77049180328,51.84837704918033,0.2786885245901639,,,1.0,,,0.0,0.07604562737642585,1.3114754098360655,0.8938547486033519
game-004,qin-court,qin_court,2,60,255,4.25,29239.216666666667,41.12114999999999,0.26666666666666666,,,0.9833333333333333,,,0.0,0.058823529411764705,1.2666666666666666,0.8583333333333333
game-004,tang-court,tang_court,3,56,266,4.75,32414.464285714286,35.41405357142857,,0.3333333333333333,0.8888888888888888,1.0,,0.16071428571428573,0.0,0.015037593984962405,,1.0
game-004,ming-court,ming_court,4,67,458,6.835820895522388,50940.23880597015,80.1174776119403,0.3880597014925373,0.45569620253164556,0.38461538461538464,0.9402985074626866,0.14285714285714285,,0.0,0.11790393013100436,1.2537313432835822,0.8730964467005076
game-005,ming-court,ming_court,1,60,364,6.066666666666666,45638.88333333333,68.82678333333334,0.21666666666666667,0.45,0.6153846153846154,0.9310344827586207,0.25,,0.0,0.08241758241758242,1.1,0.9265536723163842
game-005,shang-court,shang2_court,2,59,256,4.338983050847458,29777.593220338982,44.92152542372881,0.3220338983050847,,,0.9661016949152542,,,0.0,0.078125,1.3728813559322033,0.8361581920903954
game-005,qin-court,qin_court,3,86,352,4.093023255813954,31034.68604651163,60.25770930232557,0.39759036144578314,,,0.8928571428571429,,,0.0,0.022727272727272728,1.3855421686746987,0.7272727272727273
game-005,tang-court,tang_court,4,87,427,4.908045977011494,36767.90804597701,40.875379310344826,,0.5714285714285714,0.9583333333333334,0.7816091954022989,,0.27586206896551724,0.0,0.02576112412177986,,0.7816091954022989
game-006,ming-court,ming_court,1,73,487,6.671232876712328,51278.69863013698,90.1515205479452,0.3835616438356164,0.4175824175824176,0.4642857142857143,0.9863013698630136,0.0,,0.0,0.07802874743326489,1.2465753424657535,0.9170506912442397
